"ID da cidade","Nome da cidade",UF,Eixo,"ID Indicador","Nome do indicador","Formula do indicador","Meta do indicador","Referência de Meta","Fonte da meta","Operação da meta","Descrição do indicador","Tags do indicador","Observações do indicador","Período do indicador",Faixa,"Ordem da faixa",Data,Valor,"Meta do valor","Justificativa do valor não preenchido","Informações Tecnicas","Nome da região",Fontes,"Formula pura","Estado Nome","ID da região","Nível da Região"
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2018,2.46884821143782,,,,,"SEADE (Fundação Sistema Estadual de Análise de Dados)
SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2017,2.94611326453768,,,,,"SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2016,2.90161804628828,,,,,"CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)
IBGE (Instituto Brasileiro de Geografia e Estatística) - Projeção Populacional",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2015,3.01100823009496,,,,,"IBGE (Instituto Brasileiro de Geografia e Estatísitca)
CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2014,2.99188161057503,,,,,"SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro
IBGE (Instituto Brasileiro de Geografia e Estatística) - Projeção Populacional",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2013,2.09797145233027,,,,,"SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro
IBGE (Instituto Brasileiro de Geografia e Estatística) - Projeção Populacional",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2012,2.54937795882418,,,,,"SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro
IBGE (Instituto Brasileiro de Geografia e Estatística) - Projeção Populacional",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2011,2.71293476978095,,,,,"SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro
IBGE (Instituto Brasileiro de Geografia e Estatística) - Projeção Populacional",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2010,3.08481723424253,,,,,"IBGE (Instituto Brasileiro de Geografia e Estatísitca)
SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro",$58/$19*1000,"São Paulo",,
1,"São Paulo",SP,"Ação Local para a Saúde",5,"Leitos hospitalares","Número total de leitos hospitalares / População total *1000",2.5,"2,5 a 3 leitos hospitalares para cada mil habitantes.",,>=,"Proporção de leitos hospitalares públicos e privados disponíveis por mil habitantes.","Saúde, Hospitais, Leitos Hospitalares, Políticas Públicas",,anual,,,01/01/2009,2.88571587648585,,,,,"IBGE (Instituto Brasileiro de Geografia e Estatísitca)
SMS (Secretaria Municipal da Saúde)/SES (Secretaria de Estado da Saúde)/CNES (Cadastro Nacional dos Estabelecimentos de Saúde)/Elaboração: SMDU/Dipro",$58/$19*1000,"São Paulo",,
